epoch,step,train_loss,val_hit,val_loss
0,12,,0.4554707407951355,0.13164718449115753
1,25,,0.44910940527915955,0.12881119549274445
2,38,,0.45165395736694336,0.13005425035953522
3,49,0.1955033391714096,,
3,51,,0.4554707407951355,0.1288527101278305
4,64,,0.45928752422332764,0.1290033906698227
5,77,,0.46055978536605835,0.12944407761096954
6,90,,0.4580152630805969,0.12933534383773804
7,99,0.27022066712379456,,
7,103,,0.4529262185096741,0.129450723528862
8,116,,0.4541984796524048,0.1297055333852768
9,129,,0.44020354747772217,0.13054272532463074
